Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
61,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF2,RF4",J,J,,13,0.35,10NE,C10,,near buttress,Leaf litter,NA,41669,
62,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF3,RF2",M,M,,15,,10NE,C10,,near buttress,Leaf litter,NA,41669,
63,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF3,RF3",J,J,,12,,11NW,C11,,near buttress,Leaf litter,NA,41669,
64,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF3,RF4",F,F,,15.5,,11SW,C11,,near buttress,Leaf litter,NA,41669,
65,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF4,RF2",J,J,,11,,11SW,C11,,near buttress,Leaf litter,NA,41669,
66,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF4,RF3",J,J,,12.5,,10NW,C10,,black,Leaf litter,NA,41669,
67,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF4,RF4",M,M,,19.5,0.6,10SE,C10,,brown,soil,NA,41669,
68,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF23,RF2",J,J,,16.5,0.5,10SE,C10,,,Leaf litter,NA,41669,
69,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,ctenid,,,,,,,,5SE,C5,,,Leaf litter,,41669,
70,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAFIT,new,LF2,J,J,,16,0.2,1NW,C1,,,Leaf litter,NA,41669,
71,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF23,RF3",J,J,,11,,1SE,C1,,,Leaf litter,NA,41669,
72,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF34,J,J,J,10,0.15,1SE,C1,,,Soil,,41669,0
73,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,NORHUM,,,,,,,,2NE,C2,,escape,buttress,,41669,
74,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,recap,RF3,J,J,,,0.25,7SW,C7,,near buttress,soil,NA,41669,
75,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAFIT,new,RF3,M,M,,29,2.1,12SW,C12,,near buttress,Leaf litter,NA,41669,
76,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,,,,,,21NW,C21,,escape,soil,,41669,
77,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,PRICER,,,J,J,,8,,3NE,C3,,,Soil,NA,41669,
78,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF2,M,M,JM,14,0.3,14NE,C14,,,Leaf litter,,41669,0
79,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,,,19NW,C19,,escape,Leaf litter,,41669,
80,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF3,M,M,JM,16,0.5,19NE,C19,,,Leaf litter,,41669,0
81,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF4,M,M,M,19,0.6,21SE,C21,,,Leaf litter,,41669,0
82,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,,,,,,16SW,C16,,escape,NA,,41669,
83,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,NORLIM,,,,,,,,16SW,C16,,escape,NA,,41669,
84,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF123,J,J,J,13,,16NW,C16,,,Leaf litter,,41669,0
85,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF34,J,J,J,9,,14NE,C14,,,Leaf litter,,41669,0
86,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF23,F,F,JF,19,0.6,14SE,C14,,dorsalateral stripes with clay heels,Leaf litter,,41669,0
87,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,OOPPUM,new,LF3,J,J,J,18,0.6,12SE,C12,,,Leaf litter,NA,41669,0
88,DP3,7,Dipteryx panamensis,3,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF34,J,J,J,8.5,,7SE,C7,,dark w/ chevron,Leaf litter,,41669,0
89,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,PRICER,new,LF2,F,F,,21,0.65,9NW,C9,,,Leaf litter,NA,41669,
90,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF34,F,F,F,24,1.25,14SE,C14,,,Leaf litter,,41669,0
91,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,ctenid,,,,,,,,14SW,C14,,,Leaf litter,,41669,
92,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,NORHUM,new,LF1,M,M,,32,1,14NE,C14,,30 cm up; 22 cm diameter,trunk,,41669,
93,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,RHAHAE,new,LF2,F,F,,33,3,15SW,C15,,,Leaf litter,NA,41669,
94,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,NORHUM,,,,,,,,5SW,C5,,escape,Leaf litter,,41669,
95,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,OOPPUM,new,LF2,F,F,F,20,,5SW,C5,,,below log,NA,41669,0
96,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,,,7NW,C7,,escape,Leaf litter,,41669,
97,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,8,,7NE,C7,,tiny brown back,Leaf litter,,41669,
98,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,,,13NW,C13,,escape,Leaf litter,,41669,
99,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,8,,13SW,C13,,,Leaf litter,,41669,
100,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,J,J,J,9,,7NE,C7,,chevron,Leaf litter,,41669,
