Sample Number,Locality,Coordinates,Collecting Event Notes,Locality2,County,State,Country,Latitude,Longitude,Date,Tree Number,TreeSpecies,TreeSpecies2,TreeSpecies3,Tree Block,Experiment,Approx. Location,Date Collected,Day,Month,Year,Month2,Month3,Feb,May,Jun,Jul,Aug,Sep,Oct,Nov,Sample Replicate,Grid Cell,Direction,GridCells,Dry Litter Mass (g),Notes,Date Sorted,Sorter,Acari,Parasitiformes,Amblypygy,Amphipoda,Araneae,Blattodea,Chilopoda,Coleoptera,Collembola,Dermaptera,Diplopoda,Diptera,Formicidae,Gastropoda,Hemiptera,Hirudinea,Hymenoptera,Isopoda,Isoptera,Lepidoptera,Mantodea,Onychophora,Opiliones,Orthoptera,Phasmida,Pseudoscorpiones,Ricinulei,Thysanoptera,Worms,Larvae,WormsLarvaeLeeches,Egg,Unknown,Notes
FOLT-009,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-009.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,1,16,1,16,16.6,NA,7-May-15,BF,29,0,0,0,1,0,0,1,18,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,NA,0,7,7,0,0,
FOLT-009,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-009.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,1,16,1,17,16.6,NA,7-May-15,BF,29,0,0,0,1,0,0,1,18,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,NA,0,7,7,0,0,
FOLT-009,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-009.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,1,16,1,20,16.6,NA,7-May-15,BF,29,0,0,0,1,0,0,1,18,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,NA,0,7,7,0,0,
FOLT-009,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-009.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,1,16,1,21,16.6,NA,7-May-15,BF,29,0,0,0,1,0,0,1,18,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,NA,0,7,7,0,0,
FOLT-010,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-010.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,2,14,4,14,15.9,NA,7-May-15,BF,10,0,0,0,1,0,0,1,8,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,0,4,4,0,0,
FOLT-011,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-011.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,3,1,1,1,53.4,NA,8-May-15,BF,136,0,0,0,3,0,0,4,26,0,0,3,46,0,0,0,1,3,2,0,0,0,3,0,0,1,0,NA,0,21,21,1,6,
FOLT-011,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-011.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,3,1,1,2,53.4,NA,8-May-15,BF,136,0,0,0,3,0,0,4,26,0,0,3,46,0,0,0,1,3,2,0,0,0,3,0,0,1,0,NA,0,21,21,1,6,
FOLT-011,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-011.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,3,1,1,5,53.4,NA,8-May-15,BF,136,0,0,0,3,0,0,4,26,0,0,3,46,0,0,0,1,3,2,0,0,0,3,0,0,1,0,NA,0,21,21,1,6,
FOLT-011,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-011.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,3,1,1,6,53.4,NA,8-May-15,BF,136,0,0,0,3,0,0,4,26,0,0,3,46,0,0,0,1,3,2,0,0,0,3,0,0,1,0,NA,0,21,21,1,6,
FOLT-012,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43248, -84.01205",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 2; CE tree 3); see Brian Folt dissertation for details. FOLT-012.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimentla Sur (CES), 700 m.",,Heredia Province,Costa Rica,10.43248,-84.01205,23-Feb-14,3,Castilla elastica,Castilla (supplemented),Castilla,3,Experimental,200 m south from CES 700,23-Feb-14,23,February,2014,2,1,1,0,0,0,0,0,0,0,4,9,4,9,30.7,NA,12-May-15,BF,23,0,0,0,0,0,0,2,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,4,4,0,3,
